 **********************************************************
 *      All possible structures with their qualities      *
 **********************************************************
   
 ----------------------------------------------------------------------------------------------
* active orbs =    6   active electrons =    7   multiplicity =    2   inactive orbs =    8
 ----------------------------------------------------------------------------------------------

          Total number of covalent structure of the system = 90
          Total number of allowed covalent structres are = 30
  
  Sl No.     various qualities     Overall qualities   Rumer/Non Rumer          Structures
        IAB NAB SBB PDB PDR
Cov Space num:  1
structure  7   [  1  4  0  0  2  ]   {  3  }              -                  1:8 10 10 9 12 13 14 11
structure  8   [  1  4  0  0  2  ]   {  3  }              -                  1:8 10 10 9 13 12 14 11
structure  9   [  1  6  0  0  2  ]   {  4  }              -                  1:8 10 10 9 12 11 14 13
structure  10   [  1  6  0  0  2  ]   {  4  }              -                  1:8 10 10 9 13 11 14 12
structure  11   [  1  7  0  0  2  ]   {  5  }              -                  1:8 10 10 9 14 11 12 13
structure  12   [  1  7  0  0  2  ]   {  5  }              -                  1:8 10 10 9 14 11 13 12
structure  13   [  2  1  0  0  2  ]   {  6  }              Rumer              1:8 10 10 9 11 12 13 14
structure  14   [  2  5  0  0  2  ]   {  7  }              Rumer              1:8 10 10 11 14 12 13 9
structure  15   [  2  7  0  0  2  ]   {  8  }              -                  1:8 10 10 9 14 12 13 11
 ============================================================
Cov Space num:  3
structure  1   [  1  2  0  0  2  ]   {  1  }              -                  1:8 11 11 9 10 12 14 13
structure  2   [  1  2  0  0  2  ]   {  1  }              Rumer              1:8 11 11 9 10 13 14 12
structure  3   [  1  2  0  0  2  ]   {  1  }              Rumer              1:8 11 11 10 12 13 14 9
structure  4   [  1  2  0  0  2  ]   {  1  }              -                  1:8 11 11 10 13 12 14 9
structure  5   [  1  3  0  0  2  ]   {  2  }              -                  1:8 11 11 9 12 10 13 14
structure  6   [  1  3  0  0  2  ]   {  2  }              Rumer              1:8 11 11 9 13 10 12 14
structure  7   [  1  4  0  0  2  ]   {  3  }              -                  1:8 11 11 9 12 13 14 10
structure  8   [  1  4  0  0  2  ]   {  3  }              -                  1:8 11 11 9 13 12 14 10
structure  9   [  1  6  0  0  2  ]   {  4  }              -                  1:8 11 11 9 12 10 14 13
structure  10   [  1  6  0  0  2  ]   {  4  }              -                  1:8 11 11 9 13 10 14 12
structure  11   [  1  7  0  0  2  ]   {  5  }              -                  1:8 11 11 9 14 10 12 13
structure  12   [  1  7  0  0  2  ]   {  5  }              -                  1:8 11 11 9 14 10 13 12
structure  13   [  2  1  0  0  2  ]   {  6  }              Rumer              1:8 11 11 9 10 12 13 14
structure  14   [  2  5  0  0  2  ]   {  7  }              Rumer              1:8 11 11 10 14 12 13 9
structure  15   [  2  7  0  0  2  ]   {  8  }              -                  1:8 11 11 9 14 12 13 10
 ============================================================
